snapped_at,price,market_cap,total_volume
2021-07-17 00:00:00 UTC,31216.654628714048,581043485412.6389,22777185818.35216
2021-07-18 00:00:00 UTC,32042.884713391923,600958779745.265,17949344451.968014
2021-07-19 00:00:00 UTC,31740.81783342189,597919370267.1469,17403084009.70587
2021-07-20 00:00:00 UTC,31414.5749953334,574838629235.0267,20263626153.956192
2021-07-21 00:00:00 UTC,29802.040055134417,562663734825.0388,23230698428.937675
2021-07-22 00:00:00 UTC,32088.116203322857,610669896880.5237,28550644904.743935
2021-07-23 00:00:00 UTC,32824.91975704551,612388714535.5591,19869830305.887974
2021-07-24 00:00:00 UTC,33387.411640701124,630987687113.724,22836747649.679512
2021-07-25 00:00:00 UTC,34731.566862028114,636636104134.1156,22205053612.45254
2021-07-26 00:00:00 UTC,34976.01484711864,665108627765.0161,20576264774.81188
2021-07-27 00:00:00 UTC,36671.205406577385,696748481515.3177,54132050420.56733
2021-07-28 00:00:00 UTC,39209.83202912689,738355236715.327,36163626551.99819
2021-07-29 00:00:00 UTC,39397.00530439681,748571142996.7924,41481767043.85567
2021-07-30 00:00:00 UTC,40431.27639754202,742951072402.4034,28749245531.14328
2021-07-31 00:00:00 UTC,41452.16938166324,775031554994.4326,34917588131.16335
2021-08-01 00:00:00 UTC,41766.00195933782,782859421122.111,28035166008.81643
2021-08-02 00:00:00 UTC,40543.15065392312,755051136970.7687,28846339293.323578
2021-08-03 00:00:00 UTC,39254.1308820304,741850689494.1359,27702390195.864216
2021-08-04 00:00:00 UTC,37618.1506282765,706525101156.8009,28723378885.878704
2021-08-05 00:00:00 UTC,40195.62238521824,761005375811.6293,27518048572.909874
2021-08-06 00:00:00 UTC,40949.666251242044,753182234920.2999,38118162884.45273
2021-08-07 00:00:00 UTC,43427.02551834059,792360269000.1031,40141561954.306
2021-08-08 00:00:00 UTC,43913.668285761174,842530784548.8473,43319717967.79624
2021-08-09 00:00:00 UTC,44450.72200706249,823470459219.537,39256935967.39105
2021-08-10 00:00:00 UTC,46496.515813741215,845120326580.959,42596781938.96228
2021-08-11 00:00:00 UTC,45455.17833189635,840670752407.214,36378017592.09041
2021-08-12 00:00:00 UTC,45375.946907095706,858518350521.0676,35997057432.00346
2021-08-13 00:00:00 UTC,44956.51687439454,845657173429.4739,36165109499.96201
2021-08-14 00:00:00 UTC,47253.11124240479,881387479964.5243,34089363946.31616
2021-08-15 00:00:00 UTC,46720.14338226423,901643084108.1725,33920719192.062645
2021-08-16 00:00:00 UTC,46858.2020528982,867944581741.8618,33054990541.783176
2021-08-17 00:00:00 UTC,45985.06991055323,859841305732.4669,33901644910.20064
2021-08-18 00:00:00 UTC,45252.712924840365,852555497054.9167,34709229237.91647
2021-08-19 00:00:00 UTC,44785.90683030776,859998329066.8096,34834138853.379326
2021-08-20 00:00:00 UTC,47382.3225231697,864615130463.9747,37745254227.61258
2021-08-21 00:00:00 UTC,49460.229462715746,931830846632.236,36016998775.089836
2021-08-22 00:00:00 UTC,49093.314681660646,915779290891.5225,41328566147.81953
2021-08-23 00:00:00 UTC,48624.98962401627,924798468204.6962,27093716480.619656
2021-08-24 00:00:00 UTC,50301.04407190257,932580801591.4648,35320807633.53237
2021-08-25 00:00:00 UTC,48774.51324624981,896415959792.2074,38790984360.389465
2021-08-26 00:00:00 UTC,49080.381822386356,906932061719.8718,33903727875.999912
2021-08-27 00:00:00 UTC,47268.50819459234,876752597563.3196,33723633906.519184
2021-08-28 00:00:00 UTC,48644.05933358965,914063454863.0236,34202054478.442093
2021-08-29 00:00:00 UTC,49248.83075772875,931272966184.2606,28209374188.27749
2021-08-30 00:00:00 UTC,49234.37629887471,934837728952.3687,25800112180.431515
2021-08-31 00:00:00 UTC,46638.83176665638,877769114292.303,31743373611.711834
