snapped_at,price,market_cap,total_volume
2021-06-27 00:00:00 UTC,1825.7425646886545,207272553711.8857,24184257596.03978
2021-06-28 00:00:00 UTC,1985.0625101460107,229696101875.55344,24295034634.59537
2021-06-29 00:00:00 UTC,2063.7452826756153,242436566287.76096,30215051326.353695
2021-06-30 00:00:00 UTC,2197.94046412682,256481552397.74292,26897521894.399216
2021-07-01 00:00:00 UTC,2257.553274830826,263589882784.28,29299371586.83313
2021-07-02 00:00:00 UTC,2129.471122467767,249631813769.45013,25838509261.77477
2021-07-03 00:00:00 UTC,2139.927627729073,251188438978.36816,22733148982.883163
2021-07-04 00:00:00 UTC,2215.6436647511664,255617431971.01996,19884870018.449207
2021-07-05 00:00:00 UTC,2332.2508159311033,275315342322.8116,21343748640.193855
2021-07-06 00:00:00 UTC,2211.79363746601,258817698479.73282,22761524168.7741
2021-07-07 00:00:00 UTC,2296.999954818159,268999671381.71194,24579849326.00816
2021-07-08 00:00:00 UTC,2294.3613929581506,269868816447.7443,23085014124.518745
2021-07-09 00:00:00 UTC,2121.220655431391,250788372869.7164,23954011081.531963
2021-07-10 00:00:00 UTC,2173.2265040974944,250138360171.36575,22543243812.802372
2021-07-11 00:00:00 UTC,2148.4056654430715,245575618158.98264,18135392731.92976
2021-07-12 00:00:00 UTC,2117.265170632626,247244953429.9039,14264222061.33322
2021-07-13 00:00:00 UTC,2035.9491311584973,236642833818.79996,16451338687.968693
2021-07-14 00:00:00 UTC,1921.0766006239328,229044096382.81,18137729752.747375
2021-07-15 00:00:00 UTC,1968.6927496608157,232741199538.1235,20191769773.81676
2021-07-16 00:00:00 UTC,1919.9969589962984,221706840004.24008,17990758104.317772
2021-07-17 00:00:00 UTC,1879.9605727722214,216289912982.3469,17247789811.69633
2021-07-18 00:00:00 UTC,1880.636429260465,220725339844.45923,14754318611.998936
2021-07-19 00:00:00 UTC,1890.5050095975494,225239397175.06244,15372034692.972296
2021-07-20 00:00:00 UTC,1798.8534005039141,213097978396.80533,15975076944.811808
2021-07-21 00:00:00 UTC,1813.010065178696,212459135127.5104,20515391140.64786
2021-07-22 00:00:00 UTC,2032.2583885298332,232902572797.01532,26136071025.769855
2021-07-23 00:00:00 UTC,2005.3599084486698,234277737715.7458,21827293866.633358
2021-07-24 00:00:00 UTC,2100.099353139989,249967950201.2668,20603505099.196716
2021-07-25 00:00:00 UTC,2207.7614886459364,254720042676.08783,19064491951.76945
2021-07-26 00:00:00 UTC,2237.76750476375,259691280210.19696,16360051090.403976
2021-07-27 00:00:00 UTC,2224.834628250229,265338996151.2608,35438810990.58651
2021-07-28 00:00:00 UTC,2261.6726237244143,263732077490.52185,28601988481.970745
2021-07-29 00:00:00 UTC,2267.91173432596,265586060521.4969,23082107134.978504
2021-07-30 00:00:00 UTC,2388.7309192574526,280629700315.1401,18267651116.650307
2021-07-31 00:00:00 UTC,2454.487930187922,285463305568.4816,24202820524.718346
2021-08-01 00:00:00 UTC,2505.734234796945,294688043064.7097,21329130753.027584
2021-08-02 00:00:00 UTC,2561.7904938389265,293182227736.6421,25616841481.96302
2021-08-03 00:00:00 UTC,2573.3835298119116,302087170787.93616,26653017343.94645
2021-08-04 00:00:00 UTC,2543.0047306485612,297187221716.1897,26336598386.156452
2021-08-05 00:00:00 UTC,2708.7108422433585,316108042161.7538,29637027350.333656
2021-08-06 00:00:00 UTC,2782.7327668095913,329903917427.5382,37596352890.97632
