snapped_at,price,market_cap,total_volume
2022-01-21 00:00:00 UTC,0.1551820598312276,20710594131.613968,749567507.6226405
2022-01-22 00:00:00 UTC,0.142102136015368,18923128291.17786,1306756194.3590274
2022-01-23 00:00:00 UTC,0.1334106112103196,17699687754.98912,1895282614.3690815
2022-01-24 00:00:00 UTC,0.1416650474625493,18771666642.58346,1305187981.3694725
2022-01-25 00:00:00 UTC,0.1378618426341678,18317867949.094635,1427948963.9205914
2022-01-26 00:00:00 UTC,0.1437767872082321,19074976247.49937,1529788138.778339
2022-01-27 00:00:00 UTC,0.1439773268617456,19186152852.94685,1192737503.9925354
2022-01-28 00:00:00 UTC,0.1419398494895736,18831268316.39366,683501521.3672915
2022-01-29 00:00:00 UTC,0.142017427690667,18841560675.62572,428035000.8408156
2022-01-30 00:00:00 UTC,0.1435321135844796,19007291975.284374,427276092.3162218
2022-01-31 00:00:00 UTC,0.1397243902141018,18537341641.041515,324442351.9997678
2022-02-01 00:00:00 UTC,0.1421747264945134,18798749873.748257,624140938.9893059
2022-02-02 00:00:00 UTC,0.1428447511533432,18951322311.742207,450425344.70429057
2022-02-03 00:00:00 UTC,0.1375853952230344,18236982942.11795,521231759.3834936
2022-02-04 00:00:00 UTC,0.1378586953190355,18289818473.36266,494523648.2954732
2022-02-05 00:00:00 UTC,0.1481271400878918,19456319030.165108,595399581.4768311
2022-02-06 00:00:00 UTC,0.1473660379561703,19551164887.492306,617489172.7566446
2022-02-07 00:00:00 UTC,0.1539874628341199,20429634386.804207,672669138.2773976
2022-02-08 00:00:00 UTC,0.1657696734482247,22036370847.36431,1551929088.0378842
2022-02-09 00:00:00 UTC,0.1586624916379597,21049874031.33365,1056982570.1236207
2022-02-10 00:00:00 UTC,0.1594033550658407,21149063223.42696,833738752.4035298
2022-02-11 00:00:00 UTC,0.1520677102983617,20203130340.15188,849270506.6727037
2022-02-12 00:00:00 UTC,0.1450172241262854,19250932075.40593,670550572.2866048
2022-02-13 00:00:00 UTC,0.1444774265379313,19167930602.86915,553680888.7321459
2022-02-14 00:00:00 UTC,0.1489760898577896,19756196187.587437,1231414542.6713283
2022-02-15 00:00:00 UTC,0.1460745977858755,19379828533.05171,713209878.467042
2022-02-16 00:00:00 UTC,0.1517723440624521,20205513014.86828,588779802.3578908
2022-02-17 00:00:00 UTC,0.1491900804266336,19793161996.16413,467063698.8806109
2022-02-18 00:00:00 UTC,0.1390000099435972,18448059490.68113,637195114.5822377
2022-02-19 00:00:00 UTC,0.13893287703586,18432330982.73074,469164990.70093423
2022-02-20 00:00:00 UTC,0.1414546794429693,18712230030.190487,531005180.0504977
2022-02-21 00:00:00 UTC,0.1372593261793182,18210299711.4986,430709127.9803721
2022-02-22 00:00:00 UTC,0.1285260549757239,17175378103.537403,744028094.377513
2022-02-23 00:00:00 UTC,0.1317379754944709,17498675789.226795,578514808.559262
2022-02-24 00:00:00 UTC,0.1281879724657364,17006796281.083015,524745719.9000757
2022-02-25 00:00:00 UTC,0.1239757278294464,16447954565.768291,1555500389.0762396
2022-02-26 00:00:00 UTC,0.1279148821508633,16970565180.285915,633264428.6761099
2022-02-27 00:00:00 UTC,0.1277047682858324,16904081014.60324,425389398.900253
2022-02-28 00:00:00 UTC,0.1236685344740921,16368162696.822392,821388956.9395983
2022-03-01 00:00:00 UTC,0.1332501976459067,17644834541.64013,647565472.4098691
2022-03-02 00:00:00 UTC,0.1342779657368717,17792137067.533512,663017828.9212047
