snapped_at,price,market_cap,total_volume
2020-12-30 00:00:00 UTC,0.2214074332658726,10057607712.33219,10590299229.511703
2020-12-31 00:00:00 UTC,0.2120697554323437,9633436313.890484,6788558769.855404
2021-01-01 00:00:00 UTC,0.2205345162888086,9986921049.346115,4364513012.765856
2021-01-02 00:00:00 UTC,0.2374368348483966,10785755952.896765,4606019123.280501
2021-01-03 00:00:00 UTC,0.2218699831441479,10066602632.99948,3622428802.954543
2021-01-04 00:00:00 UTC,0.2256366959380966,10455111151.166016,3986801676.050338
2021-01-05 00:00:00 UTC,0.2346184739285062,10578255930.15237,5235562377.385517
2021-01-06 00:00:00 UTC,0.2266990256435646,10299283152.408031,3965486346.385545
2021-01-07 00:00:00 UTC,0.2523851552432814,11458017061.61058,5964831226.894267
2021-01-08 00:00:00 UTC,0.3253987133058693,14783360785.307053,13896459827.555267
2021-01-09 00:00:00 UTC,0.3215219169756062,14620012702.672577,7073230046.413266
2021-01-10 00:00:00 UTC,0.3291685242044116,14981088874.901352,5434746112.270671
2021-01-11 00:00:00 UTC,0.3186871799889355,14491113587.04244,7389910221.259051
2021-01-12 00:00:00 UTC,0.290345256663072,13238979457.402128,7740853849.032595
2021-01-13 00:00:00 UTC,0.2935698883632647,13344731547.471989,5119148557.747889
2021-01-14 00:00:00 UTC,0.3064999201536099,13957393308.172102,3423237246.197349
2021-01-15 00:00:00 UTC,0.2959769562364813,13478198579.22908,3830269072.4567375
2021-01-16 00:00:00 UTC,0.2803368033210713,12758648527.012669,3539150045.4070897
2021-01-17 00:00:00 UTC,0.2802087671576728,12752821363.443005,3219537933.3068643
2021-01-18 00:00:00 UTC,0.2770459220161564,12608874407.39614,2702518877.421779
2021-01-19 00:00:00 UTC,0.2846371762289812,12954366484.188166,2636794498.898764
2021-01-20 00:00:00 UTC,0.2945111481648177,13433997245.77599,4329912741.449357
2021-01-21 00:00:00 UTC,0.29627784655251,13484155008.268003,3435836186.364772
2021-01-22 00:00:00 UTC,0.2691929557994423,12251471331.286976,3432332258.47658
